onset	duration	trial_type
63.029	0.000	little flexion
65.929	0.000	ring flexion
68.829	0.000	middle flexion
71.629	0.000	index flexion
74.579	0.000	thumb extension
80.779	0.000	thumb extension
83.679	0.000	index extension
86.579	0.000	middle extension
89.629	0.000	ring extension
92.529	0.000	little extension
98.929	0.000	thumb flexion
101.779	0.000	index flexion
104.679	0.000	middle flexion
107.679	0.000	ring flexion
110.629	0.000	little extension
116.679	0.000	little extension
119.729	0.000	ring extension
122.729	0.000	middle extension
125.629	0.000	index extension
128.579	0.000	thumb extension
135.879	0.000	little flexion
137.879	0.000	ring flexion
140.729	0.000	middle flexion
143.729	0.000	index flexion
146.679	0.000	thumb extension
153.379	0.000	thumb extension
155.779	0.000	index extension
158.779	0.000	middle extension
161.728	0.000	ring extension
164.729	0.000	little extension
171.029	0.000	thumb flexion
174.229	0.000	index flexion
176.879	0.000	middle flexion
179.879	0.000	ring flexion
182.879	0.000	little extension
189.029	0.000	little extension
191.879	0.000	ring extension
194.829	0.000	middle extension
197.779	0.000	index extension
200.929	0.000	thumb extension
207.029	0.000	little flexion
209.979	0.000	ring flexion
213.029	0.000	middle flexion
215.929	0.000	index flexion
218.829	0.000	thumb extension
225.029	0.000	thumb extension
227.879	0.000	index extension
230.879	0.000	middle extension
233.779	0.000	ring extension
236.779	0.000	little extension
244.029	0.000	thumb flexion
246.029	0.000	index flexion
248.929	0.000	middle flexion
251.929	0.000	ring flexion
254.829	0.000	little extension
260.929	0.000	little extension
263.929	0.000	ring extension
266.879	0.000	middle extension
269.779	0.000	index extension
279.329	0.000	little flexion
282.079	0.000	ring flexion
284.979	0.000	middle flexion
287.979	0.000	index flexion
290.829	0.000	thumb extension
297.079	0.000	thumb extension
299.928	0.000	index extension
302.929	0.000	middle extension
305.829	0.000	ring extension
308.629	0.000	little extension
314.979	0.000	thumb flexion
317.929	0.000	index flexion
320.929	0.000	middle flexion
323.879	0.000	ring flexion
326.929	0.000	little extension
332.879	0.000	little extension
335.879	0.000	ring extension
338.929	0.000	middle extension
341.879	0.000	index extension
345.079	0.000	thumb extension
