onset	duration	trial_type
8.192	0.000	little flexion
10.992	0.000	ring flexion
14.092	0.000	middle flexion
16.992	0.000	index flexion
19.892	0.000	thumb extension
24.993	0.000	thumb extension
27.992	0.000	index extension
30.592	0.000	middle extension
33.993	0.000	ring extension
37.192	0.000	little extension
42.192	0.000	thumb flexion
45.192	0.000	index flexion
48.092	0.000	middle flexion
51.092	0.000	ring flexion
53.992	0.000	little extension
59.192	0.000	little extension
61.992	0.000	ring extension
64.992	0.000	middle extension
67.993	0.000	index extension
70.993	0.000	thumb extension
76.292	0.000	little flexion
78.992	0.000	ring flexion
81.993	0.000	middle flexion
85.292	0.000	index flexion
88.393	0.000	thumb extension
93.292	0.000	thumb extension
95.992	0.000	index extension
98.992	0.000	middle extension
101.792	0.000	ring extension
104.993	0.000	little extension
110.692	0.000	thumb flexion
112.993	0.000	index flexion
119.092	0.000	middle flexion
119.192	0.000	ring flexion
121.892	0.000	little extension
126.992	0.000	little extension
129.992	0.000	ring extension
132.992	0.000	middle extension
139.093	0.000	thumb extension
144.292	0.000	little flexion
147.092	0.000	ring flexion
150.092	0.000	middle flexion
153.192	0.000	index flexion
157.392	0.000	thumb extension
161.293	0.000	thumb extension
164.293	0.000	index extension
167.093	0.000	middle extension
170.093	0.000	ring extension
173.092	0.000	little extension
178.392	0.000	thumb flexion
181.092	0.000	index flexion
184.392	0.000	middle flexion
187.292	0.000	ring flexion
189.993	0.000	little extension
195.192	0.000	little extension
201.092	0.000	middle extension
203.992	0.000	index extension
207.093	0.000	thumb extension
211.992	0.000	little flexion
214.992	0.000	ring flexion
218.093	0.000	middle flexion
221.092	0.000	index flexion
223.892	0.000	thumb extension
229.092	0.000	thumb extension
231.992	0.000	index extension
234.892	0.000	middle extension
237.293	0.000	ring extension
241.092	0.000	little extension
246.492	0.000	thumb flexion
249.092	0.000	index flexion
252.192	0.000	middle flexion
255.492	0.000	ring flexion
258.192	0.000	little extension
263.093	0.000	little extension
266.092	0.000	ring extension
268.992	0.000	middle extension
271.992	0.000	index extension
274.992	0.000	thumb extension
