onset	duration	trial_type
81.911	0.000	little flexion
84.011	0.000	ring flexion
86.911	0.000	middle flexion
90.311	0.000	index flexion
93.111	0.000	thumb flexion
97.911	0.000	thumb extension
101.011	0.000	index extension
103.811	0.000	middle extension
106.811	0.000	ring extension
109.711	0.000	little extension
117.111	0.000	thumb flexion
118.411	0.000	index flexion
120.811	0.000	middle flexion
123.911	0.000	ring flexion
126.811	0.000	little flexion
132.011	0.000	little extension
137.812	0.000	middle extension
141.211	0.000	index extension
144.611	0.000	thumb extension
149.311	0.000	little flexion
150.711	0.000	ring flexion
154.911	0.000	middle flexion
157.911	0.000	index flexion
162.712	0.000	thumb flexion
166.512	0.000	thumb extension
168.711	0.000	index extension
171.711	0.000	middle extension
174.611	0.000	ring extension
177.712	0.000	little extension
186.211	0.000	thumb flexion
188.711	0.000	middle flexion
191.811	0.000	ring flexion
194.911	0.000	little flexion
200.011	0.000	little extension
205.912	0.000	middle extension
209.011	0.000	index extension
211.711	0.000	thumb extension
226.811	0.000	middle flexion
226.811	0.000	ring flexion
226.911	0.000	little flexion
230.611	0.000	thumb flexion
234.012	0.000	thumb extension
236.711	0.000	index extension
239.711	0.000	middle extension
242.712	0.000	ring extension
245.711	0.000	little extension
253.011	0.000	thumb flexion
256.711	0.000	middle flexion
259.712	0.000	ring flexion
262.611	0.000	little flexion
267.911	0.000	little extension
273.712	0.000	thumb extension
276.011	0.000	index extension
286.111	0.000	little flexion
288.111	0.000	ring flexion
291.011	0.000	middle flexion
293.911	0.000	index flexion
296.811	0.000	thumb flexion
302.211	0.000	thumb extension
304.711	0.000	index extension
307.711	0.000	middle extension
310.711	0.000	ring extension
313.711	0.000	little extension
320.611	0.000	thumb flexion
322.011	0.000	index flexion
325.011	0.000	middle flexion
328.111	0.000	ring flexion
330.711	0.000	little flexion
335.911	0.000	little extension
342.011	0.000	middle extension
344.711	0.000	index extension
347.811	0.000	thumb extension
