onset	duration	trial_type
17.888	0.000	little flexion
20.488	0.000	ring flexion
23.488	0.000	middle flexion
26.588	0.000	index flexion
29.188	0.000	thumb extension
34.688	0.000	thumb extension
37.489	0.000	index extension
40.388	0.000	middle extension
43.389	0.000	ring extension
46.488	0.000	little extension
51.688	0.000	thumb flexion
54.588	0.000	index flexion
57.288	0.000	middle flexion
60.388	0.000	ring flexion
63.488	0.000	little extension
68.588	0.000	little extension
71.388	0.000	ring extension
74.388	0.000	middle extension
77.388	0.000	index extension
80.588	0.000	thumb extension
85.788	0.000	little flexion
88.488	0.000	ring flexion
91.488	0.000	middle flexion
94.988	0.000	index flexion
97.688	0.000	thumb extension
102.588	0.000	thumb extension
105.489	0.000	index extension
108.389	0.000	middle extension
111.388	0.000	ring extension
114.388	0.000	little extension
119.588	0.000	thumb flexion
122.688	0.000	index flexion
125.688	0.000	middle flexion
128.688	0.000	ring flexion
131.589	0.000	little extension
136.488	0.000	little extension
139.788	0.000	ring extension
142.388	0.000	middle extension
145.388	0.000	index extension
148.388	0.000	thumb extension
153.588	0.000	little flexion
156.588	0.000	ring flexion
159.488	0.000	middle flexion
162.588	0.000	index flexion
165.488	0.000	thumb extension
170.588	0.000	thumb extension
173.389	0.000	index extension
176.588	0.000	middle extension
179.389	0.000	ring extension
182.489	0.000	little extension
187.488	0.000	thumb flexion
190.588	0.000	index flexion
193.588	0.000	middle flexion
196.388	0.000	ring flexion
199.588	0.000	little extension
204.388	0.000	little extension
207.388	0.000	ring extension
210.389	0.000	middle extension
213.488	0.000	index extension
216.689	0.000	thumb extension
221.688	0.000	little flexion
224.589	0.000	ring flexion
227.488	0.000	middle flexion
230.488	0.000	index flexion
233.888	0.000	thumb extension
238.589	0.000	thumb extension
241.888	0.000	index extension
244.588	0.000	middle extension
247.489	0.000	ring extension
250.388	0.000	little extension
255.688	0.000	thumb flexion
258.688	0.000	index flexion
261.488	0.000	middle flexion
264.488	0.000	ring flexion
267.488	0.000	little extension
272.588	0.000	little extension
275.388	0.000	ring extension
278.388	0.000	middle extension
281.388	0.000	index extension
284.488	0.000	thumb extension
