onset	duration	trial_type
15.961	0.000	ring flexion
15.961	0.000	little flexion
20.511	0.000	middle flexion
24.961	0.000	index flexion
35.061	0.000	index extension
37.561	0.000	middle extension
41.611	0.000	ring extension
45.261	0.000	little extension
52.561	0.000	thumb flexion
55.061	0.000	index flexion
56.661	0.000	middle flexion
58.611	0.000	ring flexion
62.761	0.000	little flexion
68.511	0.000	little extension
71.661	0.000	ring extension
78.111	0.000	index extension
81.111	0.000	thumb extension
87.511	0.000	little flexion
90.061	0.000	ring flexion
94.211	0.000	middle flexion
96.661	0.000	index flexion
99.061	0.000	thumb flexion
105.661	0.000	thumb extension
107.561	0.000	index extension
110.761	0.000	middle extension
114.961	0.000	ring extension
117.311	0.000	little extension
122.561	0.000	thumb flexion
125.911	0.000	index flexion
131.411	0.000	middle flexion
133.711	0.000	ring flexion
135.211	0.000	little flexion
141.311	0.000	little extension
143.861	0.000	ring extension
146.961	0.000	middle extension
149.161	0.000	ring extension
152.811	0.000	thumb extension
159.361	0.000	little flexion
165.361	0.000	middle flexion
167.311	0.000	index flexion
170.961	0.000	thumb flexion
177.460	0.000	thumb extension
183.211	0.000	middle extension
185.711	0.000	ring extension
189.361	0.000	little extension
198.961	0.000	index flexion
200.311	0.000	middle flexion
207.361	0.000	little flexion
213.511	0.000	little extension
216.211	0.000	ring extension
219.211	0.000	middle extension
221.911	0.000	index extension
225.211	0.000	thumb extension
232.211	0.000	little flexion
233.611	0.000	ring flexion
241.011	0.000	index flexion
251.211	0.000	index extension
254.911	0.000	middle extension
257.911	0.000	ring extension
261.061	0.000	little extension
268.061	0.000	thumb flexion
270.211	0.000	index flexion
273.211	0.000	middle flexion
276.061	0.000	ring flexion
279.211	0.000	little flexion
285.211	0.000	little extension
288.211	0.000	ring extension
291.211	0.000	middle extension
295.711	0.000	index extension
