onset	duration	trial_type
28.338	0.000	little flexion
31.237	0.000	ring flexion
34.137	0.000	middle flexion
37.337	0.000	index flexion
40.237	0.000	thumb extension
45.138	0.000	thumb extension
48.237	0.000	index extension
51.038	0.000	middle extension
54.138	0.000	ring extension
56.338	0.000	little extension
62.537	0.000	thumb flexion
65.237	0.000	index flexion
68.338	0.000	middle flexion
70.937	0.000	ring flexion
74.237	0.000	little extension
79.337	0.000	little extension
82.237	0.000	ring extension
84.937	0.000	middle extension
87.938	0.000	index extension
91.137	0.000	thumb extension
96.837	0.000	little flexion
100.937	0.000	ring flexion
102.438	0.000	middle flexion
105.237	0.000	index flexion
108.337	0.000	thumb extension
113.237	0.000	thumb extension
116.338	0.000	index extension
119.237	0.000	middle extension
122.237	0.000	ring extension
125.238	0.000	little extension
130.637	0.000	thumb flexion
133.338	0.000	index flexion
136.237	0.000	middle flexion
139.238	0.000	ring flexion
142.237	0.000	little extension
147.137	0.000	little extension
150.137	0.000	ring extension
154.037	0.000	middle extension
156.137	0.000	index extension
159.237	0.000	thumb extension
164.138	0.000	little flexion
167.237	0.000	ring flexion
170.138	0.000	middle flexion
173.237	0.000	index flexion
176.137	0.000	thumb extension
181.138	0.000	thumb extension
184.137	0.000	index extension
187.038	0.000	middle extension
190.137	0.000	ring extension
192.437	0.000	little extension
198.237	0.000	thumb flexion
201.238	0.000	index flexion
204.237	0.000	middle flexion
207.337	0.000	ring flexion
210.338	0.000	little extension
215.238	0.000	little extension
218.238	0.000	ring extension
221.138	0.000	middle extension
224.137	0.000	index extension
227.237	0.000	thumb extension
232.337	0.000	little flexion
235.238	0.000	ring flexion
238.137	0.000	middle flexion
241.237	0.000	index flexion
244.237	0.000	thumb extension
249.238	0.000	thumb extension
252.137	0.000	index extension
255.037	0.000	middle extension
257.537	0.000	ring extension
260.537	0.000	little extension
266.337	0.000	thumb flexion
269.237	0.000	index flexion
272.237	0.000	middle flexion
275.538	0.000	ring flexion
278.337	0.000	little extension
283.437	0.000	little extension
286.138	0.000	ring extension
289.238	0.000	middle extension
292.038	0.000	index extension
295.337	0.000	thumb extension
