onset	duration	trial_type
5.467	3	little flexion
8.467	3	ring flexion
11.465	3	middle flexion
14.465	3	index flexion
17.465	5	thumb flexion
22.465	3	thumb extension
25.463	3	index extension
28.463	3	middle extension
31.463	3	ring extension
34.463	5	little extension
39.463	3	thumb flexion
42.461	3	index flexion
45.461	3	middle flexion
48.461	3	ring flexion
51.461	5	little flexion
56.459	3	little extension
59.459	3	ring extension
62.459	3	middle extension
65.459	3	index extension
68.459	5	thumb extension
73.457	3	little flexion
76.457	3	ring flexion
79.457	3	middle flexion
82.457	3	index flexion
85.457	5	thumb flexion
90.455	3	thumb extension
93.455	3	index extension
96.455	3	middle extension
99.455	3	ring extension
102.453	5	little extension
107.453	3	thumb flexion
110.453	3	index flexion
113.453	3	middle flexion
116.453	3	ring flexion
119.451	5	little flexion
124.451	3	little extension
127.451	3	ring extension
130.451	3	middle extension
133.449	3	index extension
136.449	5	thumb extension
141.449	3	little flexion
144.449	3	ring flexion
147.449	3	middle flexion
150.447	3	index flexion
153.447	5	thumb flexion
158.447	3	thumb extension
161.447	3	index extension
164.445	3	middle extension
167.445	3	ring extension
170.445	5	little extension
175.445	3	thumb flexion
178.443	3	index flexion
181.443	3	middle flexion
184.443	3	ring flexion
187.443	5	little flexion
192.443	3	little extension
195.441	3	ring extension
198.441	3	middle extension
201.441	3	index extension
204.441	5	thumb extension
209.441	3	little flexion
212.44	3	ring flexion
215.44	3	middle flexion
218.44	3	index flexion
221.44	5	thumb flexion
226.438	3	thumb extension
229.438	3	index extension
232.438	3	middle extension
235.438	3	ring extension
238.438	5	little extension
243.435	3	thumb flexion
246.435	3	index flexion
249.435	3	middle flexion
252.435	3	ring flexion
255.434	5	little flexion
260.434	3	little extension
263.434	3	ring extension
266.434	3	middle extension
269.434	3	index extension
272.432	5	thumb extension
