onset	duration	trial_type
17.48	0	little flexion
20.48	0	ring flexion
26.53	0	index flexion
29.28	0	thumb flexion
36.38	0	thumb extension
38.38	0	index extension
41.48	0	middle extension
44.53	0	ring extension
47.53	0	little extension
59.88	0	middle extension
62.43	0	ring extension
71.48	0	little flexion
74.98	0	ring flexion
77.48	0	middle flexion
95.88	0	middle extension
109.63	0	index extension
116.88	0	little extension
128.52	0	index flexion
152.48	0	index extension
155.68	0	thumb extension
198.03	0	thumb flexion
204.03	0	middle flexion
233.78	0	index flexion
236.73	0	ring flexion
239.93	0	middle flexion
263.93	0	little extension
