onset	duration	trial_type
14.405	0.000	little flexion
16.405	0.000	ring flexion
23.105	0.000	index flexion
25.606	0.000	thumb flexion
30.605	0.000	thumb extension
35.705	0.000	index extension
38.605	0.000	middle extension
41.005	0.000	ring extension
43.805	0.000	little extension
53.205	0.000	middle flexion
60.206	0.000	little flexion
65.305	0.000	little extension
119.905	0.000	index flexion
141.905	0.000	index extension
163.605	0.000	thumb flexion
169.705	0.000	thumb extension
174.505	0.000	middle extension
185.505	0.000	thumb flexion
187.505	0.000	index flexion
191.105	0.000	middle flexion
214.305	0.000	thumb flexion
230.105	0.000	thumb extension
253.205	0.000	thumb flexion
255.305	0.000	index flexion
258.105	0.000	middle flexion
