onset	duration	trial_type
12.212	0.000	little flexion
17.662	0.000	middle flexion
20.762	0.000	index flexion
23.512	0.000	thumb extension
28.812	0.000	thumb extension
31.662	0.000	index extension
34.463	0.000	middle extension
37.312	0.000	ring extension
39.912	0.000	little extension
45.862	0.000	thumb flexion
48.612	0.000	index flexion
51.712	0.000	middle flexion
54.662	0.000	ring flexion
57.513	0.000	little extension
62.562	0.000	little extension
68.612	0.000	middle extension
71.662	0.000	index extension
74.712	0.000	thumb extension
79.962	0.000	little flexion
85.762	0.000	middle flexion
88.562	0.000	index flexion
91.512	0.000	thumb extension
96.813	0.000	thumb extension
99.562	0.000	index extension
102.662	0.000	middle extension
105.613	0.000	ring extension
108.762	0.000	little extension
113.962	0.000	thumb flexion
116.662	0.000	index flexion
119.712	0.000	middle flexion
122.712	0.000	ring flexion
125.562	0.000	little extension
130.612	0.000	little extension
136.563	0.000	middle extension
139.512	0.000	index extension
142.662	0.000	thumb extension
147.763	0.000	little flexion
150.712	0.000	ring flexion
153.712	0.000	middle flexion
156.612	0.000	index flexion
159.662	0.000	thumb extension
164.662	0.000	thumb extension
167.563	0.000	index extension
170.612	0.000	middle extension
173.612	0.000	ring extension
176.712	0.000	little extension
182.262	0.000	thumb flexion
184.612	0.000	index flexion
187.812	0.000	middle flexion
190.662	0.000	ring flexion
193.612	0.000	little extension
198.612	0.000	little extension
204.462	0.000	middle extension
207.462	0.000	index extension
210.613	0.000	thumb extension
215.862	0.000	little flexion
218.712	0.000	ring flexion
221.712	0.000	middle flexion
224.763	0.000	index flexion
227.863	0.000	thumb extension
235.662	0.000	index extension
238.762	0.000	middle extension
241.512	0.000	ring extension
244.613	0.000	little extension
250.062	0.000	thumb flexion
252.613	0.000	index flexion
255.712	0.000	middle flexion
258.713	0.000	ring flexion
261.612	0.000	little extension
266.562	0.000	little extension
272.112	0.000	middle extension
275.662	0.000	index extension
278.362	0.000	thumb extension
